LIL, 0.000396052
MVD, 0.000394743
PNQ, 0.000394087
PFO, 0.000392604
AMD, 0.000392035
JAV, 0.000391102
NAQ, 0.000388568
DAD, 0.000388525
NBE, 0.000387639
YVQ, 0.000386468
PDL, 0.000384674
NSI, 0.000384412
RIC, 0.000384323
RAO, 0.00038387
LIF, 0.000381626
GCM, 0.000380199
CGR, 0.000379111
RGI, 0.000378065
PTP, 0.000377671
STT, 0.000376787
UUS, 0.000376605
ORF, 0.000376482
TRN, 0.000376242
WUX, 0.000375772
BND, 0.00037473
SPR, 0.000374536
SSH, 0.000374179
TFN, 0.000372702
COR, 0.000372604
YKQ, 0.000372585
PNH, 0.000371912
ALB, 0.000371085
TJM, 0.000371083
LBV, 0.000370824
MDZ, 0.00037033
YTL, 0.000368701
OMA, 0.000368026
JER, 0.000367886
STM, 0.000367284
PLJ, 0.000366812
TBS, 0.000366651
NRN, 0.000363049
UAK, 0.00036287
HFT, 0.000362446
VVO, 0.000361999
KBL, 0.000361659
SOU, 0.000360404
TRF, 0.000360274
CBB, 0.000359425
OSS, 0.000359326
BIA, 0.000359032
JJN, 0.000358978
CCJ, 0.000356275
NOU, 0.000356223
HRG, 0.000355279
BHM, 0.00035452
SDJ, 0.000351811
BUF, 0.000349957
TSF, 0.000349759
BKO, 0.000349022
CHS, 0.000348931
DTM, 0.000346963
KZN, 0.00034567
MUR, 0.000344163
RYG, 0.000342033
KSM, 0.00034162
LEJ, 0.000341423
TUS, 0.000340089
MDL, 0.000337132
RAI, 0.000334788
RBY, 0.000333605
JIB, 0.000332866
MSA, 0.000332717
TYS, 0.000332051
GOI, 0.000332048
DJE, 0.000331978
TAL, 0.000331968
PMC, 0.000330848
VRN, 0.000330418
BGI, 0.000330277
KIV, 0.000329669
SXB, 0.000329545
EBL, 0.000329393
ASU, 0.000328992
XBE, 0.000328268
DAY, 0.000326991
KIH, 0.00032688
LXA, 0.000326811
KIN, 0.000326386
MAG, 0.000325923
HPN, 0.000325371
YGW, 0.000323726
WSX, 0.00032364
ZGS, 0.000322914
CWL, 0.000322537
TIA, 0.000322531
RTM, 0.000322294
RNO, 0.000322274
LET, 0.000321058
NUS, 0.000320907
BEN, 0.000320616
CRD, 0.000319883
ROV, 0.000318773
PAP, 0.00031771
AER, 0.000315715
KUF, 0.000315613
DZA, 0.000314946
SCO, 0.000314913
CGA, 0.000314238
LJU, 0.000313992
PZO, 0.000313849
WAA, 0.000312934
AHO, 0.000312912
GRR, 0.000312684
NGS, 0.000312478
SAP, 0.000311354
HYL, 0.000311283
TER, 0.00031126
BJV, 0.000310549
RSH, 0.000309982
SOQ, 0.000309748
