node: TYN, pagerank: 0.000779805
node: ANI, pagerank: 0.000777772
node: RHO, pagerank: 0.000777728
node: UMD, pagerank: 0.000776595
node: TIJ, pagerank: 0.000775148
node: BEY, pagerank: 0.000774329
node: IBZ, pagerank: 0.00077337
node: SXM, pagerank: 0.000771213
node: IKA, pagerank: 0.000768986
node: SON, pagerank: 0.000767921
node: LUX, pagerank: 0.000764791
node: AUS, pagerank: 0.000762544
node: YFB, pagerank: 0.000761998
node: TNR, pagerank: 0.00076037
node: ACE, pagerank: 0.000758679
node: YKS, pagerank: 0.000756126
node: HYD, pagerank: 0.000755773
node: ACC, pagerank: 0.000754787
node: SYZ, pagerank: 0.000750626
node: ADB, pagerank: 0.000744127
node: OKA, pagerank: 0.000741464
node: CPT, pagerank: 0.000738265
node: TSE, pagerank: 0.000737725
node: KJA, pagerank: 0.000734552
node: HET, pagerank: 0.000720448
node: TOS, pagerank: 0.000713521
node: SAL, pagerank: 0.00071347
node: MSY, pagerank: 0.000711881
node: YEV, pagerank: 0.000711868
node: KRK, pagerank: 0.000708744
node: MTY, pagerank: 0.000708148
node: PUS, pagerank: 0.000707609
node: RDU, pagerank: 0.0007075
node: MFM, pagerank: 0.000707343
node: JJU, pagerank: 0.00070553
node: HAV, pagerank: 0.000703065
node: BOD, pagerank: 0.000701754
node: LBA, pagerank: 0.000701246
node: DWC, pagerank: 0.00069704
node: GYD, pagerank: 0.000695467
node: TNA, pagerank: 0.000694993
node: PIE, pagerank: 0.000694658
node: NAP, pagerank: 0.000693753
node: CTA, pagerank: 0.000691917
node: RAK, pagerank: 0.000690852
node: GRO, pagerank: 0.000690778
node: FUE, pagerank: 0.000690412
node: HAJ, pagerank: 0.000687697
node: HKT, pagerank: 0.000684747
node: GDN, pagerank: 0.000681036
node: OAK, pagerank: 0.000680991
node: KHH, pagerank: 0.000679706
node: SUV, pagerank: 0.000677688
node: VNO, pagerank: 0.000674548
node: SYX, pagerank: 0.000674206
node: MLE, pagerank: 0.000672464
node: LPL, pagerank: 0.000672123
node: CNX, pagerank: 0.000671987
node: KWL, pagerank: 0.000667627
node: PIT, pagerank: 0.00066751
node: SAT, pagerank: 0.000666397
node: CLO, pagerank: 0.000664754
node: CIA, pagerank: 0.000663318
node: NCL, pagerank: 0.000662302
node: HHN, pagerank: 0.000661128
node: DKR, pagerank: 0.000660005
node: NGB, pagerank: 0.000656868
node: YOW, pagerank: 0.000654237
node: MSQ, pagerank: 0.000652181
node: AGM, pagerank: 0.000646796
node: IND, pagerank: 0.000644627
node: KHN, pagerank: 0.00064383
node: GYE, pagerank: 0.00064378
node: LHE, pagerank: 0.0006412
node: MEM, pagerank: 0.000630495
node: SJW, pagerank: 0.000630344
node: TIP, pagerank: 0.000630015
node: TRD, pagerank: 0.000629606
node: ITM, pagerank: 0.000629075
node: DAR, pagerank: 0.000624148
node: RAR, pagerank: 0.000622796
node: BEL, pagerank: 0.000621058
node: HAK, pagerank: 0.000618017
node: BTH, pagerank: 0.000617464
node: LCY, pagerank: 0.000617448
node: RSW, pagerank: 0.000610803
node: LHW, pagerank: 0.000610214
node: GOH, pagerank: 0.000610212
node: KRT, pagerank: 0.000609567
node: ULN, pagerank: 0.000609564
node: SJC, pagerank: 0.00060929
node: YQT, pagerank: 0.00060927
node: KHV, pagerank: 0.000609132
node: KRR, pagerank: 0.000608855
node: MRU, pagerank: 0.000606861
node: SDQ, pagerank: 0.000606071
node: BZE, pagerank: 0.000602922
node: YVP, pagerank: 0.000602222
node: LUN, pagerank: 0.000600832
node: YRT, pagerank: 0.000600032
node: SMF, pagerank: 0.00059915
node: SDU, pagerank: 0.000597543
node: KEF, pagerank: 0.000596991
node: BRE, pagerank: 0.000596739
node: DYU, pagerank: 0.000596584
node: CMH, pagerank: 0.000593433
node: SAH, pagerank: 0.000593169
node: DBV, pagerank: 0.000590983
node: EVN, pagerank: 0.000585032
node: SOF, pagerank: 0.000582865
node: HFE, pagerank: 0.000582081
node: FYU, pagerank: 0.000579829
node: BLL, pagerank: 0.000579666
node: SVG, pagerank: 0.000579041
node: YYR, pagerank: 0.00057545
node: OGG, pagerank: 0.000574447
node: VTE, pagerank: 0.000572482
node: DJJ, pagerank: 0.000566561
node: WNZ, pagerank: 0.000565663
node: DUT, pagerank: 0.000565561
node: MKE, pagerank: 0.00056389
node: AUA, pagerank: 0.0005617
node: PLU, pagerank: 0.000560071
node: PMO, pagerank: 0.000556768
node: MDC, pagerank: 0.000553809
node: BRI, pagerank: 0.000553311
node: TFF, pagerank: 0.000552057
node: YQB, pagerank: 0.00055142
node: TDD, pagerank: 0.000549463
node: ABZ, pagerank: 0.000546714
node: FOR, pagerank: 0.000543894
node: GOT, pagerank: 0.000542646
node: MPM, pagerank: 0.000541758
node: EBB, pagerank: 0.000539508
node: BOO, pagerank: 0.000535867
node: INC, pagerank: 0.000535386
node: SPU, pagerank: 0.000533365
node: CHQ, pagerank: 0.000532698
node: PEN, pagerank: 0.000532684
node: SVQ, pagerank: 0.000532218
node: BIL, pagerank: 0.000532054
node: MYR, pagerank: 0.000531841
node: CAG, pagerank: 0.000531464
node: ABQ, pagerank: 0.000528142
node: NRN, pagerank: 0.000525905
node: CFU, pagerank: 0.000525567
node: MDE, pagerank: 0.000524026
node: TLL, pagerank: 0.000522586
node: YRL, pagerank: 0.000519688
node: SFJ, pagerank: 0.000517698
node: TSF, pagerank: 0.000517269
node: RKV, pagerank: 0.000517213
node: YZV, pagerank: 0.000517058
node: ZUH, pagerank: 0.000515605
node: PLS, pagerank: 0.000514374
node: GUM, pagerank: 0.000512848
node: ORN, pagerank: 0.000512426
node: BIO, pagerank: 0.000512151
node: PMV, pagerank: 0.000509219
node: CGQ, pagerank: 0.000503491
node: GUA, pagerank: 0.00050154
node: MBJ, pagerank: 0.000500669
node: REC, pagerank: 0.00049828
node: ISA, pagerank: 0.00049817
node: KOI, pagerank: 0.000491617
node: BDL, pagerank: 0.000491211
node: EOH, pagerank: 0.000490443
node: GZO, pagerank: 0.000490319
node: JAX, pagerank: 0.000490252
node: DLA, pagerank: 0.000489568
node: JNN, pagerank: 0.000489132
node: LJG, pagerank: 0.000488983
node: LAE, pagerank: 0.000487659
node: POS, pagerank: 0.00048685
node: KCH, pagerank: 0.000486791
node: COK, pagerank: 0.000486337
node: LIN, pagerank: 0.000485979
node: REP, pagerank: 0.000482236
node: RYG, pagerank: 0.000481744
node: BPN, pagerank: 0.000480657
node: TSV, pagerank: 0.00047706
node: KGL, pagerank: 0.000475032
node: ANU, pagerank: 0.000473997
node: AMQ, pagerank: 0.000473762
node: CUR, pagerank: 0.000472546
node: HGU, pagerank: 0.000471911
node: RGI, pagerank: 0.000469627
node: WDH, pagerank: 0.000469418
node: SJD, pagerank: 0.000469267
node: BRW, pagerank: 0.000468348
node: DAD, pagerank: 0.000468203
node: DAL, pagerank: 0.000466328
node: COO, pagerank: 0.0004656
node: GCM, pagerank: 0.000463508
node: CDB, pagerank: 0.000463149
node: PDL, pagerank: 0.000462442
node: KUS, pagerank: 0.000461328
node: PBI, pagerank: 0.000461035
node: BMA, pagerank: 0.000460201
node: ZAG, pagerank: 0.000459552
node: BFI, pagerank: 0.000456174
node: SNA, pagerank: 0.000454952
node: PVR, pagerank: 0.000454159
node: HRE, pagerank: 0.000453258
node: OLB, pagerank: 0.000453052
node: AJA, pagerank: 0.000452467
node: MCG, pagerank: 0.000452038
node: TAH, pagerank: 0.000449887
node: DUR, pagerank: 0.000449885
node: FRU, pagerank: 0.000449426
node: FNC, pagerank: 0.000448529
node: LIL, pagerank: 0.000447831
node: RMQ, pagerank: 0.000446597
node: OOL, pagerank: 0.00044509
node: AHO, pagerank: 0.000444779
node: KGS, pagerank: 0.000443895
node: ABJ, pagerank: 0.000442402
node: RAB, pagerank: 0.00044156
node: TRF, pagerank: 0.000440863
node: DTM, pagerank: 0.00044008
node: ALB, pagerank: 0.000438674
node: BGI, pagerank: 0.000438558
node: RAI, pagerank: 0.00043775
node: FLN, pagerank: 0.000437676
node: OKC, pagerank: 0.00043685
node: CBB, pagerank: 0.000436471
node: SDF, pagerank: 0.000436007
node: TBS, pagerank: 0.000435084
node: COR, pagerank: 0.000434475
node: STT, pagerank: 0.000433741
node: NUE, pagerank: 0.000433053
node: ERS, pagerank: 0.000432353
node: JER, pagerank: 0.000432335
node: NYO, pagerank: 0.000431596
node: TJM, pagerank: 0.000430999
node: RTM, pagerank: 0.000430699
node: TRN, pagerank: 0.000429245
node: WRO, pagerank: 0.000427003
node: UUS, pagerank: 0.000422553
node: LBV, pagerank: 0.000421925
node: SZB, pagerank: 0.000421659
node: VVI, pagerank: 0.000420618
node: XNN, pagerank: 0.000419915
node: ORK, pagerank: 0.000419414
node: TPS, pagerank: 0.00041898
node: TSA, pagerank: 0.000418526
node: UNK, pagerank: 0.000418017
node: SWA, pagerank: 0.000414149
node: SCC, pagerank: 0.000413453
node: RUN, pagerank: 0.000413101
node: PEW, pagerank: 0.000411931
node: YKQ, pagerank: 0.000411786
node: KIN, pagerank: 0.00041064
node: IFN, pagerank: 0.000410435
node: GAL, pagerank: 0.000410285
node: DLM, pagerank: 0.000409775
node: KZN, pagerank: 0.000406196
node: YTZ, pagerank: 0.000401252
node: GAU, pagerank: 0.000400072
node: YNT, pagerank: 0.000399367
node: GRR, pagerank: 0.000399065
node: HFT, pagerank: 0.000398642
node: KTW, pagerank: 0.000397409
node: LEJ, pagerank: 0.000396702
node: SXB, pagerank: 0.000396247
node: JOG, pagerank: 0.000395785
node: JAV, pagerank: 0.000395039
node: MUR, pagerank: 0.000394152
node: ROV, pagerank: 0.000391639
node: KIV, pagerank: 0.000389952
node: HRG, pagerank: 0.00038915
node: NAQ, pagerank: 0.000389115
node: HBE, pagerank: 0.000388875
node: NUS, pagerank: 0.000388723
node: LIR, pagerank: 0.000387983
node: NOU, pagerank: 0.000387789
node: LBD, pagerank: 0.000387326
node: BHM, pagerank: 0.000386848
node: LXA, pagerank: 0.000385435
node: GSP, pagerank: 0.000384714
node: GMP, pagerank: 0.00038431
node: PGD, pagerank: 0.000384121
node: YTL, pagerank: 0.000383765
node: RAO, pagerank: 0.00038325
node: YYT, pagerank: 0.000383132
node: AMD, pagerank: 0.000382857
node: ADQ, pagerank: 0.000382542
node: OMA, pagerank: 0.000382246
node: LIF, pagerank: 0.000381943
node: FLR, pagerank: 0.000381599
node: PFO, pagerank: 0.000381589
node: TRV, pagerank: 0.000381397
node: BFS, pagerank: 0.000381059
node: YGW, pagerank: 0.000379806
node: PSP, pagerank: 0.000379508
node: LET, pagerank: 0.000379316
node: BUF, pagerank: 0.00037907
node: SCO, pagerank: 0.00037904
node: CGA, pagerank: 0.000378312
node: SNN, pagerank: 0.000378101
node: YWK, pagerank: 0.000377697
node: UFA, pagerank: 0.00037762
node: NSI, pagerank: 0.000377326
node: SOU, pagerank: 0.000375393
node: MAG, pagerank: 0.000374694
node: KSM, pagerank: 0.000373988
node: SOQ, pagerank: 0.000373083
node: AWZ, pagerank: 0.000372919
node: JRO, pagerank: 0.000372588
node: IEV, pagerank: 0.000371455
node: BND, pagerank: 0.000371405
node: BZV, pagerank: 0.000370496
node: JHB, pagerank: 0.000369696
node: RIC, pagerank: 0.000369442
node: ORF, pagerank: 0.000369314
node: KUF, pagerank: 0.000369111
node: CGR, pagerank: 0.000368772
node: WAA, pagerank: 0.000368438
node: UAK, pagerank: 0.000366764
node: HPN, pagerank: 0.000365791
node: TUL, pagerank: 0.000365717
node: NBE, pagerank: 0.000365378
node: JIB, pagerank: 0.000361974
node: CHS, pagerank: 0.00036124
node: VVO, pagerank: 0.000360623
node: BIA, pagerank: 0.000360053
node: MDZ, pagerank: 0.000359
node: WMI, pagerank: 0.000358915
node: GYN, pagerank: 0.000358854
node: KWN, pagerank: 0.000358651
node: SPR, pagerank: 0.000358525
node: SAP, pagerank: 0.000356603
node: SKP, pagerank: 0.000356249
node: BOI, pagerank: 0.000355085
node: PLJ, pagerank: 0.000354733
node: EBL, pagerank: 0.000354038
node: MAH, pagerank: 0.000353152
node: YVQ, pagerank: 0.000352963
node: MVD, pagerank: 0.00035285
node: MUA, pagerank: 0.000352616
node: CCJ, pagerank: 0.000352311
node: DJE, pagerank: 0.000350879
node: AGA, pagerank: 0.000350747
node: BKO, pagerank: 0.000349686
node: ZAD, pagerank: 0.000348114
node: PNH, pagerank: 0.000347781
node: MSA, pagerank: 0.000346311
node: DSM, pagerank: 0.000345684
node: NGS, pagerank: 0.000345188
node: AER, pagerank: 0.000344968
node: TYS, pagerank: 0.000344001
node: ROC, pagerank: 0.000343767
node: LJU, pagerank: 0.000343115
node: XBE, pagerank: 0.00034168
node: ADE, pagerank: 0.000341638
node: WUX, pagerank: 0.000341156
node: DSN, pagerank: 0.000341036
node: ZGS, pagerank: 0.000340942
node: SDJ, pagerank: 0.000340793
node: LOP, pagerank: 0.000340477
node: EXT, pagerank: 0.000339322
node: TFN, pagerank: 0.00033878
node: YTH, pagerank: 0.000338705
node: DVO, pagerank: 0.00033602
node: LFW, pagerank: 0.000335925
node: VVC, pagerank: 0.000334127
node: TER, pagerank: 0.000331739
node: CRD, pagerank: 0.00033172
node: RBY, pagerank: 0.000331716
node: BWN, pagerank: 0.000331619
node: LST, pagerank: 0.000330948
node: YLW, pagerank: 0.00033055
node: DZA, pagerank: 0.000330308
node: HMO, pagerank: 0.000329066
node: SSH, pagerank: 0.000328833
node: OUA, pagerank: 0.000326299
node: VRN, pagerank: 0.000325724
node: ASU, pagerank: 0.000325649
node: JJN, pagerank: 0.000325376
node: XUZ, pagerank: 0.000324985
node: TAL, pagerank: 0.000324124
node: WSX, pagerank: 0.000323908
node: YCU, pagerank: 0.000323585
node: PVD, pagerank: 0.000322618
node: TUS, pagerank: 0.000322547
node: LIT, pagerank: 0.000322185
